"AssemblyName","DllPath","TypeFullName","MethodName","MethodToken","StringToken","ILOffset","UserStringHeapOffset","UserStringEntryBytes","Value","Length","Class","AlreadyMapped"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.Utils.BordersBuilder","GetBorderTexture","0x06000013","0x70000001","240","1","40","Borders Spritesheet","19","CommonDisplayCandidate","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Priority",".ctor","0x0600001c","0x70000029","1","41","30","_PRIORITY_Data","14","Technical","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Priority",".ctor","0x0600001c","0x70000047","12","71","42","_PRIORITY_References","20","Technical","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Priority",".ctor","0x0600001d","0x70000029","1","41","30","_PRIORITY_Data","14","Technical","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Priority",".ctor","0x0600001d","0x70000047","12","71","42","_PRIORITY_References","20","Technical","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Priority",".ctor","0x0600001e","0x70000029","1","41","30","_PRIORITY_Data","14","Technical","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Priority",".ctor","0x0600001e","0x70000047","12","71","42","_PRIORITY_References","20","Technical","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Priority","op_Addition","0x06000025","0x70000071","8","113","128","Trying to change or compare a Priority instance against itself.","63","CommonDisplayCandidate","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Priority","op_Subtraction","0x06000028","0x70000071","8","113","128","Trying to change or compare a Priority instance against itself.","63","CommonDisplayCandidate","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Priority","Equals","0x06000031","0x70000071","27","113","128","Trying to change or compare a Priority instance against itself.","63","CommonDisplayCandidate","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Priority","SaveData","0x0600003f","0x700000f1","16","241","14","Rating","6","Technical","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Priority","SaveData","0x0600003f","0x700000ff","34","255","32","TiebreakerScore","15","Technical","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Priority","LoadData","0x06000040","0x700000f1","17","241","14","Rating","6","Technical","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Priority","LoadData","0x06000040","0x700000ff","40","255","32","TiebreakerScore","15","Technical","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Priority","ToString","0x06000043","0x7000011f","48","287","6","(+","2","CommonDisplayCandidate","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Priority","ToString","0x06000043","0x70000125","64","293","4",")","1","CommonDisplayCandidate","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Situation",".ctor","0x06000048","0x70000129","1","297","32","_SITUATION_Data","15","Technical","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Situation",".ctor","0x06000048","0x70000149","12","329","44","_SITUATION_References","21","Technical","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Situation",".ctor","0x06000049","0x70000129","1","297","32","_SITUATION_Data","15","Technical","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Situation",".ctor","0x06000049","0x70000149","12","329","44","_SITUATION_References","21","Technical","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Situation",".ctor","0x0600004a","0x70000129","1","297","32","_SITUATION_Data","15","Technical","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Situation",".ctor","0x0600004a","0x70000149","12","329","44","_SITUATION_References","21","Technical","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Situation","op_Addition","0x06000051","0x70000175","8","373","131","Trying to change or compare a Situation instance against itself.","64","CommonDisplayCandidate","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Situation","op_Subtraction","0x06000054","0x70000175","8","373","131","Trying to change or compare a Situation instance against itself.","64","CommonDisplayCandidate","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Situation","Equals","0x0600005d","0x70000175","27","373","131","Trying to change or compare a Situation instance against itself.","64","CommonDisplayCandidate","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Situation","SaveData","0x0600006b","0x700000f1","16","241","14","Rating","6","Technical","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Situation","SaveData","0x0600006b","0x700000ff","34","255","32","TiebreakerScore","15","Technical","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Situation","LoadData","0x0600006c","0x700000f1","17","241","14","Rating","6","Technical","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Situation","LoadData","0x0600006c","0x700000ff","40","255","32","TiebreakerScore","15","Technical","False"
"AtTheGatesCommon.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesCommon.original.dll","AtTheGatesCommon.ns_Enums.Situation","ToString","0x0600006f","0x7000011f","48","287","6","(+","2","CommonDisplayCandidate","False"
