"AssemblyName","DllPath","TypeFullName","MethodName","MethodToken","StringToken","ILOffset","UserStringHeapOffset","UserStringEntryBytes","Value","Length","Class","AlreadyMapped"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.CollectionHelpers","ReifyCollection","0x06000001","0x70000001","9","1","14","source","6","Technical","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1",".ctor","0x06000002","0x7000000f","16","15","18","capacity","8","Technical","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1",".ctor","0x06000002","0x70000021","21","33","60","Capacity may not be negative.","29","Review","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1",".ctor","0x06000003","0x7000005d","16","93","22","collection","10","Technical","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","System.Collections.Generic.ICollection<T>.CopyTo","0x0600000d","0x70000073","9","115","12","array","5","Technical","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","CopyToArray","0x0600000e","0x70000073","9","115","12","array","5","Technical","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","System.Collections.IList.Add","0x06000013","0x7000007f","28","127","12","value","5","Technical","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","System.Collections.IList.Add","0x06000013","0x7000008b","33","139","44","Value cannot be null.","21","Review","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","System.Collections.IList.Add","0x06000013","0x700000b7","57","183","56","Value is of incorrect type.","27","Review","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","System.Collections.IList.Add","0x06000013","0x7000007f","62","127","12","value","5","Technical","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","System.Collections.IList.Insert","0x06000016","0x7000007f","28","127","12","value","5","Technical","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","System.Collections.IList.Insert","0x06000016","0x7000008b","33","139","44","Value cannot be null.","21","Review","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","System.Collections.IList.Insert","0x06000016","0x700000b7","57","183","56","Value is of incorrect type.","27","Review","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","System.Collections.IList.Insert","0x06000016","0x7000007f","62","127","12","value","5","Technical","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","System.Collections.IList.set_Item","0x0600001b","0x7000007f","28","127","12","value","5","Technical","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","System.Collections.IList.set_Item","0x0600001b","0x7000008b","33","139","44","Value cannot be null.","21","Review","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","System.Collections.IList.set_Item","0x0600001b","0x700000b7","57","183","56","Value is of incorrect type.","27","Review","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","System.Collections.IList.set_Item","0x0600001b","0x7000007f","62","127","12","value","5","Technical","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","System.Collections.ICollection.CopyTo","0x0600001c","0x70000073","9","115","12","array","5","Technical","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","System.Collections.ICollection.CopyTo","0x0600001c","0x700000ef","14","239","68","Destination array cannot be null.","33","Review","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","System.Collections.ICollection.CopyTo","0x0600001c","0x70000133","59","307","80","Destination array is of incorrect type.","39","Review","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","System.Collections.ICollection.CopyTo","0x0600001c","0x70000073","64","115","12","array","5","Technical","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","System.Collections.ICollection.CopyTo","0x0600001c","0x70000183","78","387","92","Destination array must be single dimensional.","45","Review","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","System.Collections.ICollection.CopyTo","0x0600001c","0x70000073","83","115","12","array","5","Technical","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","CheckNewIndexArgument","0x0600001f","0x700001df","17","479","12","index","5","Technical","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","CheckNewIndexArgument","0x0600001f","0x700001eb","30","491","38","Invalid new index ","18","Review","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","CheckNewIndexArgument","0x0600001f","0x70000211","47","529","40"," for source length ","19","Review","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","CheckExistingIndexArgument","0x06000020","0x700001df","20","479","12","index","5","Technical","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","CheckExistingIndexArgument","0x06000020","0x70000239","33","569","48","Invalid existing index ","23","Review","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","CheckExistingIndexArgument","0x06000020","0x70000211","50","529","40"," for source length ","19","Review","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","CheckRangeArguments","0x06000021","0x70000269","10","617","14","offset","6","Technical","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","CheckRangeArguments","0x06000021","0x70000277","15","631","32","Invalid offset ","15","Review","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","CheckRangeArguments","0x06000021","0x70000297","46","663","12","count","5","Technical","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","CheckRangeArguments","0x06000021","0x700002a3","51","675","30","Invalid count ","14","Review","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","CheckRangeArguments","0x06000021","0x700002c1","92","705","34","Invalid offset (","16","Review","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","CheckRangeArguments","0x06000021","0x700002e3","109","739","30",") or count + (","14","Review","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","CheckRangeArguments","0x06000021","0x70000301","126","769","42",") for source length ","20","Review","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","set_Capacity","0x06000026","0x7000007f","14","127","12","value","5","Technical","False"
"ElfTools.original","C:\Users\98538\Documents\AtTheGateChinese\source\ElfTools.original.dll","Nito.Collections.Deque`1","set_Capacity","0x06000026","0x7000032b","19","811","100","Capacity cannot be set to a value less than Count","49","Review","False"
