"AssemblyName","DllPath","TypeFullName","MethodName","MethodToken","StringToken","ILOffset","UserStringHeapOffset","UserStringEntryBytes","Value","Length","Class","AlreadyMapped"
"AtTheGatesGame.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesGame.original.exe","AtTheGatesGame.ProgramCommon","MainEx","0x06000001","0x70000001","40","1","60","( x _ x )    HE'S  DEAD,  JIM","29","Review","False"
"AtTheGatesGame.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesGame.original.exe","AtTheGatesGame.ProgramCommon","MainEx","0x06000001","0x7000003d","55","61","14","





","6","Technical","False"
"AtTheGatesGame.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesGame.original.exe","AtTheGatesGame.ProgramCommon","BuildCrashMessage_PopupHeader","0x06000003","0x7000004b","8","75","102","                    AT  THE  GATES  HAS  CRASHED !","50","Review","False"
"AtTheGatesGame.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesGame.original.exe","AtTheGatesGame.ProgramCommon","BuildCrashMessage_PopupHeader","0x06000003","0x700000b1","47","177","120","Please help us fix this by providing all of the following :","59","Review","False"
"AtTheGatesGame.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesGame.original.exe","AtTheGatesGame.ProgramCommon","BuildCrashMessage_PopupHeader","0x06000003","0x70000129","77","297","108","   ( 1 )   A text copy or screenshot of this message.","53","Review","False"
"AtTheGatesGame.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesGame.original.exe","AtTheGatesGame.ProgramCommon","BuildCrashMessage_PopupHeader","0x06000003","0x70000195","98","405","126","   ( 2 )   The  [ Crash.AtGLog ]  file in your install folder.","62","TooltipFragment","False"
"AtTheGatesGame.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesGame.original.exe","AtTheGatesGame.ProgramCommon","BuildCrashMessage_PopupHeader","0x06000003","0x70000213","119","531","104","   ( 3 )   A description of the last thing you did.","51","Review","False"
"AtTheGatesGame.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesGame.original.exe","AtTheGatesGame.ProgramCommon","BuildCrashMessage_ErrorID","0x06000004","0x7000027b","10","635","124","-------------------------------------------------------------","61","Technical","False"
"AtTheGatesGame.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesGame.original.exe","AtTheGatesGame.ProgramCommon","BuildCrashMessage_ErrorID","0x06000004","0x700002f7","17","759","165","---------------------------------------------------------------------------------","81","Technical","False"
"AtTheGatesGame.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesGame.original.exe","AtTheGatesGame.ProgramCommon","BuildCrashMessage_ErrorID","0x06000004","0x7000039c","72","924","18","        ","8","Technical","False"
"AtTheGatesGame.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesGame.original.exe","AtTheGatesGame.ProgramCommon","BuildCrashMessage_ErrorID","0x06000004","0x700003ae","105","942","16","   @   ","7","Review","False"
"AtTheGatesGame.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesGame.original.exe","AtTheGatesGame.ProgramCommon","BuildCrashMessage_ErrorID","0x06000004","0x7000039c","173","924","18","        ","8","Technical","False"
"AtTheGatesGame.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesGame.original.exe","AtTheGatesGame.ProgramCommon","BuildCrashMessage_ErrorID_Details","0x06000005","0x700003be","15","958","40","Exception of type '","19","Review","False"
"AtTheGatesGame.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesGame.original.exe","AtTheGatesGame.ProgramCommon","BuildCrashMessage_ErrorID_Details","0x06000005","0x700003e6","20","998","2","","0","Technical","False"
"AtTheGatesGame.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesGame.original.exe","AtTheGatesGame.ProgramCommon","BuildCrashMessage_ErrorID_Details","0x06000005","0x700003e8","32","1000","28","' was thrown.","13","Review","False"
