"AssemblyName","DllPath","TypeFullName","MethodName","MethodToken","StringToken","ILOffset","UserStringHeapOffset","UserStringEntryBytes","Value","Length","Class","AlreadyMapped"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification",".ctor","0x06000020","0x70000001","23","1","38","_NOTIFICATION_Data","18","Technical","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification",".ctor","0x06000020","0x70000027","34","39","50","_NOTIFICATION_References","24","Technical","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification",".ctor","0x06000020","0x70000059","86","89","2","","0","Technical","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification",".ctor","0x06000021","0x70000001","23","1","38","_NOTIFICATION_Data","18","Technical","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification",".ctor","0x06000021","0x70000027","34","39","50","_NOTIFICATION_References","24","Technical","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","Build","0x06000023","0x70000059","92","89","2","","0","Technical","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","Build","0x06000023","0x7000005b","108","91","76","/Audio/SFX/Notifications/_GENERIC.ogg","37","TooltipFragment","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","Build","0x06000023","0x700000a7","147","167","24","Event Music","11","SafeUI","True"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","BuildTooltip","0x06000024","0x700000bf","38","191","38","Ntfn.TooltipLabel.","18","TooltipFragment","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","BuildTooltip","0x06000024","0x700000e5","70","229","4",".","1","SafeUI","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","BuildInterfaceObjects","0x06000027","0x700000e9","71","233","26","Ntfn.Button.","12","TooltipFragment","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","BuildInterfaceObjects","0x06000027","0x700000e5","103","229","4",".","1","SafeUI","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","BuildInterfaceObjects","0x06000027","0x70000103","222","259","38","Ntfn.SummaryLabel.","18","SafeUI","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","BuildInterfaceObjects","0x06000027","0x700000e5","254","229","4",".","1","SafeUI","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","BuildInterfaceObjects","0x06000027","0x70000129","410","297","32","Ntfn.Container.","15","SafeUI","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","BuildInterfaceObjects","0x06000027","0x700000e5","442","229","4",".","1","SafeUI","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","BuildInterfaceObjects","0x06000027","0x70000149","556","329","36","Ntfn.spacerPanel.","17","SafeUI","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","BuildInterfaceObjects","0x06000027","0x700000e5","588","229","4",".","1","SafeUI","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","BuildInterfaceObjects","0x06000027","0x7000016d","672","365","26","Ntfn.spacer.","12","SafeUI","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","BuildInterfaceObjects","0x06000027","0x700000e5","704","229","4",".","1","SafeUI","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","BuildInterfaceObjects","0x06000027","0x70000187","726","391","28",".GreaterThan0","13","SafeUI","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","BuildInterfaceObjects","0x06000027","0x7000016d","845","365","26","Ntfn.spacer.","12","SafeUI","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","BuildInterfaceObjects","0x06000027","0x700000e5","877","229","4",".","1","SafeUI","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","BuildInterfaceObjects","0x06000027","0x700001a3","899","419","22",".LessThan0","10","SafeUI","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","ChooseSummaryColor","0x06000028","0x700001b9","87","441","38","INTENSITY_OBSESSED","18","Technical","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","ChooseSummaryColor","0x06000028","0x700001df","151","479","12","Happy","5","Technical","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","GetIconTexture","0x06000029","0x700001eb","164","491","106","Images/Interface/Icons/Notifications/UnitsNeedOrders","52","TooltipFragment","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","GetIconTexture","0x06000029","0x70000255","181","597","102","Images/Interface/Icons/Notifications/MustTrainUnit","50","TooltipFragment","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","GetIconTexture","0x06000029","0x700002bb","198","699","92","Images/Interface/Icons/Notifications/Research","45","TooltipFragment","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","GetIconTexture","0x06000029","0x70000317","215","791","114","Images/Interface/Icons/Notifications/DiploResponseNeeded","56","TooltipFragment","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","GetIconTexture","0x06000029","0x70000317","232","791","114","Images/Interface/Icons/Notifications/DiploResponseNeeded","56","TooltipFragment","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","GetIconTexture","0x06000029","0x70000389","249","905","94","Images/Interface/Icons/Notifications/DiploNews","46","TooltipFragment","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","GetIconTexture","0x06000029","0x70000389","266","905","94","Images/Interface/Icons/Notifications/DiploNews","46","TooltipFragment","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","GetIconTexture","0x06000029","0x700003e7","283","999","104","Images/Interface/Icons/Notifications/CaravanArrived","51","TooltipFragment","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","GetIconTexture","0x06000029","0x7000044f","300","1103","98","Images/Interface/Icons/Notifications/SagesAppear","48","TooltipFragment","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","GetIconTexture","0x06000029","0x700004b1","317","1201","92","Images/Interface/Icons/Notifications/_Generic","45","TooltipFragment","False"
"AtTheGatesUI.original","C:\Users\98538\Documents\AtTheGateChinese\source\AtTheGatesUI.original.dll","AtTheGatesUI.ns_Notifications.Notification","GetIconTexture","0x06000029","0x700004b1","334","1201","92","Images/Interface/Icons/Notifications/_Generic","45","TooltipFragment","False"
